,point.objects.object0.blueprint,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object1.blueprint,point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.blueprint,point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.blueprint,point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.objects.object4.blueprint,point.objects.object4.color[0],point.objects.object4.color[1],point.objects.object4.color[2],point.objects.object4.heading,point.objects.object4.position[0],point.objects.object4.position[1],point.objects.object4.velocity[0],point.objects.object4.velocity[1],point.params.weather,rho
0,2.0,0.7122841888217288,0.8478578505676391,0.556716700298655,1.5732303721499772,-96.40240928249048,4.216045545154296,-0.0,0.0,2.0,0.3201156470908661,0.2656771319489069,0.2656771319489069,0.008925429542171459,-121.00534380317697,-23.710603319450954,0.0,0.0,18.0,0.4907778747468797,0.4907778747468797,0.4907778747468797,-1.570295198364098,-135.07030317722385,-204.31896014959324,0.0,0.0,11.0,1.0,1.0,1.0,-1.5758196334500865,1.253803119637979,-202.1259258121355,0.0,-0.0,14.0,0.8291352370267796,0.8290243746157201,0.8223803545428602,1.5732303721499772,-262.05257323623266,0.8225472124379642,-0.0,0.0,0.0,32.218303344404944
1,11.0,0.5578346243111688,0.518538744391932,0.39528316764890903,0.008925424595428,-120.1244637316973,-123.16739201917846,0.0,0.0,14.0,0.2690512229003306,0.2690512229003306,0.2690512229003306,-1.5719404081475354,-156.8058858165173,-94.88728747952122,0.0,-0.0,17.0,0.4031417298094823,0.4031417298094823,0.4031417298094823,-1.5665567086630605,93.07100769287865,193.9668045476649,0.0,0.0,5.0,0.05895801398519705,0.0534613991913155,0.0534613991913155,1.0291073587262898,-68.5524283605842,138.2611651735793,0.0,0.0,7.0,0.2384555480869519,0.18422072826806463,0.4189430216772578,-3.135702345644142,-50.375640146165615,75.78753185798652,0.0,-0.0,4.0,32.218303344404944
